Persona, Arcana, Curse, Electric, Fire, Ice, Item, Bless, Lv, Nuclear, Personality, Phys, Psi, Gun, Skills, Wind
Abaddon,Judgement,ab,-,-,-,Makarakarn,-,74,wk,ab,wk,ab,"Absorb Phys(79),Deathbound,Gigantomachia(80),Makarakarn,Spirit Drain,Survival Trick(77)",-                
Agathion,Chariot,-,rs,-,-,Zio,-,3,-,Timid,-,-,rs,"Baisudi,Dia,Dodge Electric(8),Lunge(4),Rakukaja(6),Zio",wk
        lu: 48,
        lvl: 85,
        ma: 59,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Absorb Wind: 0,
            Insta-Heal: 87,
            Maziodyne: 88,
            Mediarahan: 0,
            Salvation: 90,
            Samarecarm: 0,
            Spell Master: 89
        },
        st: 48,
        wind: wk
    },
    Isis: {
        ag: 18,
        arcana: Priestess,
        curse: nu,        
        electric: -,
        en: 16,
        fire: -,
        ice: -,
        item: Zionga,
        bless: nu,
        lu: 15,
        lvl: 26,
        ma: 21,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Agilao: 0,
            Diarama: 0,
            Garula: 30,
            Makarakarn: 32,
            Resist Forget: 27,
            Sukukaja: 0,
            Zionga: 29
        },
        st: 15,
        wind: -
    },
    Izanagi: {
        ag: 14,
        arcana: Fool,
        curse: nu,        
        electric: rs,
        en: 13,
        fire: -,
        ice: -,
        item: 純白の鉢巻,
        bless: -,
        lu: 13,
        lvl: 20,
        ma: 13,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Cross Slash: 0,
            Dodge Physical: 22,
            Growth 3: 25,
            Mazionga: 24,
            Rising Slash: 21,
            Tarukaja: 0,
            Zionga: 0
        },
        st: 14,
        wind: wk
    },
    Izanagi Picaro: {
        ag: 16,
        arcana: Fool,
        curse: nu,        
        electric: nu,
        en: 15,
        fire: -,
        ice: -,
        item: Growth 3,
        bless: -,
        lu: 14,
        lvl: 23,
        ma: 15,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Cross Slash: 0,
            Growth 3: 28,
            Mazionga: 27,
            Null Phys: 25,
            Rising Slash: 24,
            Rakukaja: 0,
            Zionga: 0
        },
        st: 16,
        wind: wk
    },
    Jack Frost: {
        ag: 9,
        arcana: Magician,
        curse: -,        
        electric: -,
        en: 7,
        fire: wk,
        ice: nu,
        item: フロスト頭巾,
        bless: -,
        lu: 7,
        lvl: 11,
        ma: 9,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Baisudi: 0,
            Bufu: 0,
            Freeze Boost: 15,
            Ice Break: 0,
            Mabufu: 12,
            Rakunda: 13
        },
        st: 8,
        wind: -
    },
    Jack O\u0027Lantern: {
        ag: 3,
        arcana: Magician,
        curse: -,        
        electric: -,
        en: 3,
        fire: ab,
        ice: wk,
        item: パンプキンボム,
        bless: -,
        lu: 2,
        lvl: 2,
        ma: 3,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Agi: 0,
            Dazzler: 5,
            Sharp Student: 4,
            Rakunda: 0,
            Resist Sleep: 7
        },
        st: 2,
        wind: wk
    },
    Jatayu: {
        ag: 27,
        arcana: Tower,
        curse: -,        
        electric: -,
        en: 20,
        fire: -,
        ice: -,
        item: Flash Bomb,
        bless: -,
        lu: 17,
        lvl: 32,
        ma: 21,
        nuclear: -,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Dodge Psi: 33,
            Flash Bomb: 0,
            Garula: 0,
            Masukukaja: 0,
            Rainy Play: 36,
            Sharpshooter: 35,
            Speed Master: 38
        },
        st: 18,
        wind: ab
    },
    Jikokuten: {
        ag: 17,
        arcana: Temperance,
        curse: wk,        
        electric: -,
        en: 19,
        fire: -,
        ice: -,
        item: Memory Blow,
        bless: rs,
        lu: 15,
        lvl: 25,
        ma: 12,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Memory Blow: 0,
            Counter: 28,
            Adverse Resolve: 31,
            Defense Master: 0,
            Dekunda: 27,
            Matarukaja: 30,
            Rakunda: 0
        },
        st: 19,
        wind: -
    },
    Kaguya: {
        ag: 11,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 12,
        fire: wk,
        ice: -,
        item: 月光の衣,
        bless: nu,
        lu: 6,
        lvl: 16,
        ma: 15,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Shower: 18,
            Counterstrike: 0,
            Diarahan: 21,
            Divine Grace: 17,
            Mediarama: 0,
            Shining Arrows: 0,
            Repel Phys: 22
        },
        st: 11,
        wind: rs
    },
    Kaguya Picaro: {
        ag: 15,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 19,
        fire: wk,
        ice: -,
        item: Diarahan,
        bless: nu,
        lu: 11,
        lvl: 25,
        ma: 20,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Shower: 27,
            Diarahan: 30,
            Divine Grace: 26,
            High Counter: 0,
            Mediarama: 0,
            Shining Arrows: 0,
            Repel Phys: 31
        },
        st: 17,
        wind: -
    },
    Kaiwan: {
        ag: 22,
        arcana: Star,
        curse: -,        
        electric: -,
        en: 24,
        fire: -,
        ice: -,
        item: MaPsio,
        bless: -,
        lu: 20,
        lvl: 36,
        ma: 26,        
        nuclear: wk,
        personality: Timid,
        phys: -,
        Psi: nu,
        gun: nu,        
        skills: {
            Forget Boost: 37,
            Makajam: 0,
            Makajamon: 39,
            MaPsio: 40,
            Marakunda: 41,
            Psio: 0,
            Speed Master: 38
        },
        st: 23,
        wind: -
    },
    Kali: {
        ag: 53,
        arcana: Empress,
        curse: rs,        
        electric: -,
        en: 46,
        fire: nu,
        ice: -,
        item: カムライターオ,
        bless: -,
        lu: 41,
        lvl: 77,
        ma: 45,        
        nuclear: -,
        phys: -,
        Psi: rp,
        gun: -,        
        skills: {
            Absorb Nuclear: 82,
            Evade Ice: 79,
            High Counter: 80,
            MaPsidyne: 81,
            Psidyne: 0,
            Tentarafoo: 0,
            Vorpal Blade: 0
        },
        st: 53,
        wind: -
    },
    Kelpie: {
        ag: 6,
        arcana: Strength,
        curse: -,        
        electric: wk,
        en: 5,
        fire: -,
        ice: rs,
        item: Terror Claw,
        bless: -,
        lu: 4,
        lvl: 6,
        ma: 5,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Garu: 0,
            Lunge: 0,
            Resist Brainwash: 8,
            Sukukaja: 9,
            Terror Claw: 10
        },
        st: 5,
        wind: -
    },
    Kikuri-Hime: {
        ag: 28,
        arcana: Priestess,
        curse: -,        
        electric: -,
        en: 24,
        fire: wk,
        ice: -,
        item: Divine Grace,
        bless: rs,
        lu: 22,
        lvl: 40,
        ma: 31,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Divine Grace: 45,
            Energy Drop: 0,
            Lullaby: 0,
            Marakukaja: 0,
            Mediarama: 41,
            Tetraja: 43
        },
        st: 22,
        wind: nu
    },
    Kin-Ki: {
        ag: 15,
        arcana: Chariot,
        curse: -,        
        electric: -,
        en: 21,
        fire: -,
        ice: -,
        item: Regenerate 1,
        bless: -,
        lu: 12,
        lvl: 25,
        ma: 13,        
        nuclear: -,
        personality: Gloomy,
        phys: rs,
        Psi: wk,
        gun: rs,        
        skills: {
            Bad Beat: 30,
            Counterstrike: 31,
            Dodge Psi: 27,
            Vajra Blast: 0,
            Rakukaja: 0,
            Regenerate 1: 0,
            Sledgehammer: 28
        },
        st: 21,
        wind: -
    },
    King Frost: {
        ag: 33,
        arcana: Emperor,
        curse: -,        
        electric: -,
        en: 45,
        fire: -,
        ice: ab,
        item: Kフロストマント,
        bless: nu,
        lu: 35,
        lvl: 61,
        ma: 39,        
        nuclear: -,
        personality: Unknown,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Auto-Mataru: 64,
            Bufudyne: 0,
            Freeze Boost: 62,
            Ice Amp: 67,
            Ice Break: 0,
            Megaton Raid: 0,
            Null Distress: 65
        },
        st: 38,
        wind: -
    },
    Kodama: {
        ag: 10,
        arcana: Star,
        curse: -,        
        electric: -,
        en: 8,
        fire: wk,
        ice: rs,
        item: Fear Boost,
        bless: -,
        lu: 4,
        lvl: 11,
        ma: 11,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Devil Touch: 13,
            Fear Boost: 15,
            Garu: 0,
            Psi: 12,
            Rakunda: 0,
            Resist Fear: 17,
            Tarukaja: 14
        },
        st: 9,
        wind: -
    },
    Koh-i-Noor: {
        ag: 25,
        arcana: Priestess,
        curse: nu,        
        electric: rs,
        en: 25,
        fire: rs,
        ice: rs,
        item: コ・イ・ヌール,
        bless: nu,
        lu: 25,
        lvl: 25,
        ma: 25,
        nuclear: -,
        phys: rs,
        Psi: rs,
        gun: rs,        
        skills: {
            Dodge Curseness: 0,
            Dodge Electric: 0,
            Dodge Fire: 0,
            Dodge Ice: 0,
            Dodge Bless: 0,
            Dodge Nuclear: 0,
            Dodge Psi: 0,
            Dodge Wind: 0
        },
        st: 25,
        wind: rs
    },
    Kohryu: {
        ag: 53,
        arcana: Hierophant,
        curse: -,        
        electric: rp,
        en: 50,
        fire: -,
        ice: -,
        item: スダルサナ,
        bless: nu,
        lu: 38,
        lvl: 76,
        ma: 51,        
        nuclear: nu,
        phys: -,
        Psi: wk,
        gun: -,        
        skills: {
            Cool Breeze: 78,
            MaPsidyne: 0,
            Mediarahan: 0,
            Mind Charge: 79,
            Psi Amp: 80,
            Psichokinesis: 0,
            Spell Master: 82
        },
        st: 43,
        wind: -
    },
    Koppa Tengu: {
        ag: 11,
        arcana: Temperance,
        curse: -,        
        electric: -,
        en: 8,
        fire: -,
        ice: wk,
        item: Growth 1,
        bless: wk,
        lu: 6,
        lvl: 11,
        ma: 8,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Snap: 0,
            Garu: 0,
            Growth 1: 12,
            Taunt: 13,
            Rage Boost: 14,
            Wage War: 15
        },
        st: 7,
        wind: rs
    },
    Koropokkuru: {
        ag: 9,
        arcana: Hermit,
        curse: -,        
        electric: -,
        en: 6,
        fire: wk,
        ice: rs,
        item: Bufu,
        bless: -,
        lu: 6,
        lvl: 9,
        ma: 8,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Bufu: 0,
            Dodge Ice: 11,
            Fire Wall: 13,
            Mabufu: 14,
            Makajam: 0,
            Rakunda: 12
        },
        st: 5,
        wind: rs
    },
    Koumokuten: {
        ag: 31,
        arcana: Hermit,
        curse: -,        
        electric: -,
        en: 34,
        fire: -,
        ice: wk,
        item: Regenerate 2,
        bless: rs,
        lu: 25,
        lvl: 49,
        ma: 32,
        nuclear: -,
        phys: rs,
        Psi: -,
        gun: -,        
        skills: {
            Assault Dive: 0,
            Attack Master: 51,
            Deadly Fury: 55,
            Enduring Soul: 54,
            Matarukaja: 52,
            Nuclear Wall: 53,
            Regenerate 2: 0,
            Revolution: 0
        },
        st: 37,
        wind: -
    },
    Kumbhanda: {
        ag: 26,
        arcana: Hermit,
        curse: rs,        
        electric: -,
        en: 27,
        fire: nu,
        ice: wk,
        item: ,
        bless: -,
        lu: 26,
        lvl: 42,
        ma: 25,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dekaja: 45,
            Hysterical Slap: 0,
            Rage Boost: 46,
            Revolution: 47,
            Stagnant Air: 0,
            Tempest Slash: 43,
            Wage War: 0
        },
        st: 29,
        wind: -
    },
    Kurama Tengu: {
        ag: 42,
        arcana: Hermit,
        curse: rs,        
        electric: -,
        en: 34,
        fire: -,
        ice: wk,
        item: Garudyne,
        bless: rs,
        lu: 27,
        lvl: 56,
        ma: 38,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Brain Buster: 0,
            Garudyne: 57,
            Growth 3: 58,
            Heat Wave: 0,
            Magarudyne: 60,
            Masukunda: 0
        },
        st: 34,
        wind: rp
    },
    Kushinada-Hime: {
        ag: 28,
        arcana: Lovers,
        curse: -,        
        electric: -,
        en: 26,
        fire: -,
        ice: -,
        item: Wind Wall,
        bless: rp,
        lu: 25,
        lvl: 42,
        ma: 30,
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Shower: 47,
            Hysterical Slap: 0,
            Mabufula: 0,
            Matarukaja: 44,
            Mediarama: 0,
            Null Sleep: 45,
            Wind Wall: 46
        },
        st: 24,
        wind: -
    },
    Kusi Mitama: {
        ag: 9,
        arcana: Strength,
        curse: -,        
        electric: -,
        en: 11,
        fire: wk,
        ice: -,
        item: Forget Boost,
        bless: -,
        lu: 9,
        lvl: 14,
        ma: 12,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufu: 0,
            Forget Boost: 18,
            Garu: 0,
            Makajam: 0,
            Media: 0,
            Regenerate 1: 15,
            Wind Wall: 16
        },
        st: 8,
        wind: rs
    },
    Lachesis: {
        ag: 25,
        arcana: Fortune,
        curse: -,        
        electric: wk,
        en: 22,
        fire: -,
        ice: nu,
        item: Ice Boost,
        bless: -,
        lu: 19,
        lvl: 34,
        ma: 25,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Bufula: 0,
            Electric Wall: 36,
            Growth 2: 0,
            Ice Boost: 40,
            Mabaisudi: 0,
            Mabufula: 38,
            Marakukaja: 35
        },
        st: 18,
        wind: rs
    },
    Lakshmi: {
        ag: 46,
        arcana: Fortune,
        curse: -,        
        electric: -,
        en: 43,
        fire: wk,
        ice: rs,
        item: Cool Breeze,
        bless: rs,
        lu: 38,
        lvl: 69,
        ma: 47,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Amrita Shower: 72,
            Bufudyne: 0,
            Cool Breeze: 74,
            Diarahan: 0,
            Lullaby: 0,
            Mediarahan: 70,
            Rainy Play: 71
        },
        st: 40,
        wind: -
    },
    Lamia: {
        ag: 19,
        arcana: Empress,
        curse: nu,        
        electric: rs,
        en: 18,
        fire: -,
        ice: wk,
        item: Distress Boost,
        bless: -,
        lu: 12,
        lvl: 26,
        ma: 15,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Agilao: 0,
            Distress Boost: 31,
            Foul Breath: 28,
            Maragion: 30,
            Rising Slash: 0,
            Rakukaja: 0,
            Word of Calamity: 27
        },
        st: 21,
        wind: -
    },
    Leanan Sidhe: {
        ag: 16,
        arcana: Lovers,
        curse: -,        
        electric: -,
        en: 12,
        fire: wk,
        ice: -,
        item: Recarm,
        bless: -,
        lu: 10,
        lvl: 19,
        ma: 17,        
        nuclear: -,
        personality: Irritable,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Eiga: 23,
            Mamudo: 21,
            MaPsi: 22,
            Marin Karin: 20,
            Psio: 0,
            Rakunda: 0
        },
        st: 9,
        wind: rs
    },
    Legion: {
        ag: 23,
        arcana: Fool,
        curse: nu,        
        electric: -,
        en: 30,
        fire: rs,
        ice: -,
        item: レギオンジェイル,
        bless: wk,
        lu: 20,
        lvl: 38,
        ma: 24,        
        nuclear: -,
        personality: Unknown,
        phys: rs,
        Psi: rs,
        gun: rs,        
        skills: {
            Bloodsuck: 0,
            Negative Pile: 0,
            Null Dizzy: 42,
            Psio: 39,
            Rampage: 0,
            Tetra Break: 40
        },
        st: 24,
        wind: -
    },
    Lilim: {
        ag: 25,
        arcana: Devil,
        curse: nu,        
        electric: -,
        en: 18,
        fire: -,
        ice: rs,
        item: Lullaby,
        bless: wk,
        lu: 20,
        lvl: 32,
        ma: 23,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: wk,        
        skills: {
            Bufula: 0,
            Devil Smile: 0,
            Dodge Bless: 35,
            Freeze Boost: 34,
            Mabufula: 37,
            Masukunda: 0,
            Spirit Drain: 36
        },
        st: 17,
        wind: wk
    },
    Lilith: {
        ag: 39,
        arcana: Moon,
        curse: nu,        
        electric: -,
        en: 37,
        fire: wk,
        ice: rp,
        item: Mabufudyne,
        bless: -,
        lu: 35,
        lvl: 60,
        ma: 43,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Mabufudyne: 0,
            Magarudyne: 62,
            Makara Break: 0,
            Mamudoon: 64,
            Maragidyne: 65,
            Mudoon: 0,
            Spirit Drain: 63
        },
        st: 33,
        wind: -
    },
    Lucifer: {
        ag: 56,
        arcana: Star,
        curse: -,        
        electric: -,
        en: 59,
        fire: -,
        ice: -,
        item: 万魔の銃,
        bless: wk,
        lu: 51,
        lvl: 93,
        ma: 59,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Absorb Phys: 99,
            Gigantomachia: 0,
            Heat Riser: 96,
            High Voltage: 97,
            Incineration: 0,
            Insta-Heal: 98,
            Morning Star: 94,
            Spell Master: 95
        },
        st: 61,
        wind: -
    },
    Mada: {
        ag: 56,
        arcana: Tower,
        curse: -,        
        electric: -,
        en: 58,
        fire: ab,
        ice: wk,
        item: Unshaken Will,
        bless: -,
        lu: 45,
        lvl: 85,
        ma: 51,
        nuclear: nu,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Agidyne: 0,
            Amrita Shower: 88,
            Burn Boost: 0,
            Enduring Soul: 90,
            Fire Amp: 0,
            Incineration: 87,
            Spell Master: 91,
            Unshaken Will: 86
        },
        st: 52,
        wind: -
    },
    Magatsu-Izanagi: {
        ag: 25,
        arcana: Tower,
        curse: nu,        
        electric: -,
        en: 32,
        fire: -,
        ice: -,
        item: 漆黒の鉢巻,
        bless: nu,
        lu: 10,
        lvl: 44,
        ma: 35,        
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Attack Master: 48,
            Bloodbath: 46,
            Ghastly Wail: 0,
            Heat Riser: 50,
            Magatsu Mandala: 0,
            Maziodyne: 45,
            Megidola: 0
        },
        st: 37,
        wind: -
    },
    Magatsu-Izanagi Picaro: {
        ag: 27,
        arcana: Tower,
        curse: nu,        
        electric: -,
        en: 35,
        fire: -,
        ice: -,
        item: Heat Riser,
        bless: nu,
        lu: 11,
        lvl: 48,
        ma: 38,        
        nuclear: wk,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Bloodbath: 50,
            Ghastly Wail: 0,
            Heat Riser: 54,
            Magarudyne: 49,
            Magatsu Mandala: 0,
            Megidola: 0,
            Speed Master: 52
        },
        st: 40,
        wind: -
    },
    Makami: {
        ag: 11,
        arcana: Temperance,
        curse: -,        
        electric: wk,
        en: 8,
        fire: -,
        ice: -,
        item: Makajam,
        bless: nu,
        lu: 8,
        lvl: 15,
        ma: 12,        
        nuclear: rs,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dodge Electric: 20,
            Double Fangs: 0,
            Energy Drop: 0,
            Frei: 0,
            Mafrei: 17,
            Makajam: 18,
            Resist Distress: 19
        },
        st: 13,
        wind: rs
    },
    Mandrake: {
        ag: 4,
        arcana: Death,
        curse: -,        
        electric: rs,
        en: 3,
        fire: wk,
        ice: -,
        item: Energy Drop,
        bless: -,
        lu: 4,
        lvl: 3,
        ma: 3,        
        nuclear: -,
        personality: Upbeat,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Energy Drop: 0,
            Lunge: 4,
            Pulinpa: 0,
            Skull Cracker: 7,
            Sukunda: 5
        },
        st: 2,
        wind: -
    },
    Mara: {
        ag: 45,
        arcana: Tower,
        curse: rp,        
        electric: -,
        en: 49,
        fire: ab,
        ice: wk,
        item: Maragidyne,
        bless: rs,
        lu: 39,
        lvl: 73,
        ma: 46,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: nu,        
        skills: {
            Firm Stance: 78,
            Heat Up: 77,
            Maeigaon: 76,
            Maragidyne: 0,
            One Shot Kill: 0,
            Power Charge: 74,
            Tetra Break: 0
        },
        st: 47,
        wind: -
    },
    Matador: {
        ag: 16,
        arcana: Death,
        curse: -,        
        electric: wk,
        en: 12,
        fire: -,
        ice: -,
        item: Garula,
        bless: -,
        lu: 11,
        lvl: 19,
        ma: 13,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Garula: 23,
            Null Dizzy: 0,
            Psi: 0,
            Sukukaja: 0,
            Swift Strike: 20,
            Trigger Happy: 22
        },
        st: 12,
        wind: nu
    },
    Melchizedek: {
        ag: 39,
        arcana: Justice,
        curse: nu,        
        electric: -,
        en: 41,
        fire: -,
        ice: -,
        item: Mahamaon,
        bless: ab,
        lu: 32,
        lvl: 60,
        ma: 38,
        nuclear: -,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Amrita Drop: 65,
            God\u0027s Hand: 67,
            Hama Boost: 61,
            Hamaon: 0,
            Mahamaon: 64,
            Megaton Raid: 0,
            Revolution: 62
        },
        st: 37,
        wind: wk
    },
    Messiah: {
        ag: 50,
        arcana: Judgement,
        curse: wk,        
        electric: rs,
        en: 50,
        fire: rs,
        ice: rs,
        item: 明星の鎧,
        bless: rp,
        lu: 50,
        lvl: 81,
        ma: 50,        
        nuclear: rs,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Absorb Phys: 85,
            Almighty Boost: 87,
            Enduring Soul: 83,
            God\u0027s Hand: 0,
            Invigorate 3: 84,
            Megidolaon: 0,
            Oratorio: 0,
            Regenerate 3: 82
        },
        st: 50,
        wind: rs
    },
    Messiah Picaro: {
        ag: 55,
        arcana: Judgement,
        curse: wk,        
        electric: rs,
        en: 55,
        fire: rs,
        ice: rs,
        item: Insta-Heal,
        bless: rp,
        lu: 55,
        lvl: 90,
        ma: 56,        
        nuclear: rs,
        phys: -,
        Psi: rs,
        gun: -,        
        skills: {
            Agneyastra: 0,
            Almighty Boost: 96,
            Cool Breeze: 93,
            Enduring Soul: 92,
            Firm Stance: 94,
            Insta-Heal: 91,
            Megidolaon: 0,
            Oratorio: 0
        },
        st: 56,
        wind: rs
    },
    Metatron: {
        ag: 57,
        arcana: Justice,
        curse: wk,        
        electric: wk,
        en: 60,
        fire: -,
        ice: -,
        item: 破壊神皇,
        bless: -,
        lu: 42,
        lvl: 89,
        ma: 61,        
        nuclear: ab,
        phys: -,
        Psi: ab,
        gun: -,        
        skills: {
            Dancing Blades: 0,
            Divine Judgement: 95,
            Hama Boost: 92,
            Bless Amp: 94,
            Mahamaon: 0,
            Makougaon: 0,
            Megidolaon: 91,
            Mind Charge: 93
        },
        st: 54,
        wind: rp
    },
    Michael: {
        ag: 56,
        arcana: Judgement,
        curse: nu,        
        electric: -,
        en: 55,
        fire: -,
        ice: -,
        item: ジャッジオブヘル,
        bless: rp,
        lu: 46,
        lvl: 87,
        ma: 54,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Cosmic Flare: 92,
            Dancing Blades: 89,
            Debilitate: 0,
            Divine Judgement: 0,
            Mabufudyne: 0,
            Mahamaon: 90,
            Megidolaon: 91
        },
        st: 57,
        wind: -
    },
    Mithra: {
        ag: 24,
        arcana: Temperance,
        curse: -,        
        electric: wk,
        en: 19,
        fire: -,
        ice: nu,
        item: デスコントラクト,
        bless: nu,
        lu: 18,
        lvl: 33,
        ma: 26,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dekunda: 35,
            Diarama: 0,
            Kouga: 0,
            Bless Boost: 36,
            Mahama: 0,
            Makouga: 34,
            Thermopylae: 38
        },
        st: 19,
        wind: -
    },
    Mithras: {
        ag: 25,
        arcana: Sun,
        curse: -,        
        electric: -,
        en: 27,
        fire: ab,
        ice: -,
        item: ペトラ・ゲネトリクス,
        bless: -,
        lu: 20,
        lvl: 39,
        ma: 25,        
        nuclear: nu,
        personality: Gloomy,
        phys: rs,
        Psi: wk,
        gun: -,        
        skills: {
            Freidyne: 45,
            Mafreila: 0,
            Nuclear Break: 42,
            Vicious Strike: 0,
            Tentarafoo: 0,
            Tetra Break: 41
        },
        st: 27,
        wind: -
    },
    Mokoi: {
        ag: 10,
        arcana: Death,
        curse: -,        
        electric: rs,
        en: 6,
        fire: -,
        ice: -,
        item: Dekunda,
        bless: -,
        lu: 4,
        lvl: 9,
        ma: 5,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Dazzler: 0,
            Dekunda: 14,
            Dodge Electric: 13,
            Marin Karin: 11,
            Skull Cracker: 0,
            Tarukaja: 0
        },
        st: 9,
        wind: wk
    },
    Moloch: {
        ag: 31,
        arcana: Hanged Man,
        curse: nu,        
        electric: rs,
        en: 42,
        fire: rp,
        ice: wk,
        item: Nuclear Amp,
        bless: -,
        lu: 37,
        lvl: 60,
        ma: 45,
        nuclear: -,
        phys: -,
        Psi: ab,
        gun: -,        
        skills: {
            Absorb Fire: 64,
            Agidyne: 62,
            Devil Smile: 0,
            Ghastly Wail: 63,
            Nuclear Amp: 65,
            Psidyne: 0,
            Stagnant Air: 0
        },
        st: 32,
        wind: rs
    },
    Mot: {
        ag: 42,
        arcana: Death,
        curse: rp,        
        electric: ab,
        en: 48,
        fire: -,
        ice: -,
        item: Mind Charge,
        bless: -,
        lu: 39,
        lvl: 72,
        ma: 51,        
        nuclear: -,
        phys: -,
        Psi: -,
        gun: rs,        
        skills: {
            Matarukaja: 0,
            Maziodyne: 0,
            Megidola: 0,
            Megidolaon: 76,
            Mind Charge: 74,
            Repel Electric: 77
        },
        st: 43,
        wind: wk
    },
    Mother Harlot: {
        ag: 49,
        arcana: Empress,
        curse: nu,        
        electric: rp,
        en: 46,
        fire: -,
        ice: -,
        item: クレイブソリッシュ,
        bless: wk,
        lu: 49,
        lvl: 80,
        ma: 48,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Debilitate: 85,
            Ice Age: 81,
            Ice Amp: 82,
            Mabufudyne: 0,
            Mamudoon: 0,
            Mudo Boost: 0,
            Null Bless: 83
        },
        st: 55,
        wind: -
    },
    Mothman: {
        ag: 24,
        arcana: Moon,
        curse: -,        
        electric: nu,
        en: 16,
        fire: -,
        ice: -,
        item: Foul Breath,
        bless: -,
        lu: 21,
        lvl: 33,
        ma: 24,        
        nuclear: -,
        personality: Timid,
        phys: -,
        Psi: rs,
        gun: wk,        
        skills: {
            Ambient Aid: 36,
            Makajamon: 37,
            Mazionga: 0,
            Shock Boost: 0,
            Skull Cracker: 0,
            Tentarafoo: 35
        },
        st: 21,
        wind: -
    },
    Naga: {
        ag: 17,
        arcana: Hermit,
        curse: -,        
        electric: nu,
        en: 15,
        fire: -,
        ice: -,
        item: Electric Boost,
        bless: -,
        lu: 15,
        lvl: 24,
        ma: 17,        
        nuclear: -,
        personality: Gloomy,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Memory Blow: 0,
            Dazzler: 27,
            Double Fangs: 0,
            Electric Boost: 26,
            Marakukaja: 29,
            Mazionga: 28,
            Zionga: 0
        },
        st: 15,
        wind: wk
    },
    Narcissus: {
        ag: 35,
        arcana: Lovers,
        curse: -,        
        electric: nu,
        en: 29,
        fire: wk,
        ice: -,
        item: ナルキスフラワー,
        bless: rs,
        lu: 30,
        lvl: 50,
        ma: 36,
        nuclear: -,
        phys: -,
        Psi: -,
        gun: -,        
        skills: {
            Blinding Flash: 0,
            Ambient Aid: 55,
            Dizzy Boost: 53,
            Energy Drop: 0,
            Growth 3: 52,
            Magarula: 0,
            Mediarama: 54
        },
